order_id,order_date,customer_id,amount,currency
1128d6e5-aebf-4f02-85e3-9704ac23615f,2025-03-20 03:46:05,5338,236.24,USD
f501e0f0-38a4-4be8-9615-0e5265197777,2025-01-25 19:23:59,7640,198.54,USD
d83928b3-7c7d-4cf4-ba37-bc5cbbb1dfe2,2025-03-17 16:44:27,5481,285.07,USD
654ebca4-e08c-4255-8025-602bf7fa487a,2025-02-20 18:25:23,1899,31.21,USD
8290f8c6-bf90-471b-a46a-f559a8e531df,2025-04-01 11:32:10,7101,452.65,USD
cbc1d2b5-8ac8-4df4-937b-849c4fb6da8f,2025-01-12 11:28:52,4288,452.53,USD
daf0a882-a740-4b62-9536-2d7c5c76e58d,2025-01-28 02:33:18,1125,434.47,USD
a217e8ca-ee8f-40e3-9ff6-657906738395,2025-01-27 11:56:13,5125,478.35,USD
f87f4b8f-aad5-456d-8374-ef19c160bf6b,2025-02-17 02:05:16,9471,36.85,USD
0315f522-a361-43fd-a791-21b0f3fa9695,2025-02-11 10:20:18,3937,211.61,USD
fce1d1ea-f83e-466c-9d42-aed0709fcbf7,2025-02-24 05:08:54,7741,159.11,USD
fcbbb6e0-7133-44a4-8e80-0bd48c21ec1a,2025-01-03 19:41:45,8936,202.71,USD
b4055dd2-22d9-44c3-a4b4-f5cf962cb3fd,2025-02-07 09:18:19,7612,410.07,USD
705360ec-c0e7-4362-9ada-4744b8377745,2025-01-18 17:20:50,4637,340.81,USD
f3bb86d2-1b9d-4982-be79-dbe7f15e3d0a,2025-02-28 07:44:12,8372,305.75,USD
86cf9363-1ab9-4b0e-9bd6-567cec623c4d,2025-01-14 02:14:07,7719,482.34,USD
02a90e00-d713-4925-9436-998ca8a78002,2025-01-23 07:08:53,2926,332.65,USD
eda18bc5-53a9-4b0d-8b6f-bd55c7075fcb,2025-01-10 22:12:32,8196,411.77,USD
82268990-8a0b-4d4a-9b2d-4a8c1778d77f,2025-01-12 09:47:47,5763,106.61,USD
da033900-50d1-4de2-a82e-dee196baeb63,2025-03-13 02:53:57,2455,57.75,USD
514d5a71-a8b5-4fba-bf70-3fcac38f94ca,2025-01-10 01:35:46,9573,121.23,USD
4a813335-5a0b-4425-89f2-d52e77729629,2025-01-18 05:21:56,2575,256.01,USD
c58cc56a-6c5d-4fe5-92af-1734fc6ca621,2025-03-22 02:16:56,9349,51.3,USD
54178c61-5914-4b1b-9539-8d83c5f21cc9,2025-02-11 14:26:45,4460,89.92,USD
0fd21980-5979-4740-99a0-dbf19df03dfa,2025-02-24 11:17:41,3434,352.31,USD
b5b93d3d-5493-444c-9cc2-7ca4d4a895bd,2025-01-31 21:18:53,9201,284.98,USD
6729e8f7-d147-4a11-ac4c-7f58e431b0b0,2025-02-05 15:35:58,8104,213.51,USD
9493f62c-1a51-4b9e-83a4-128ff8999a9b,2025-02-14 17:28:30,2231,213.43,USD
6c4afb64-0675-4f9b-866e-65bc3ba5c215,2025-03-25 02:10:00,8223,144.72,USD
e14abfd2-9d70-4658-8aec-4dad72e04522,2025-03-01 15:34:04,3192,109.92,USD
6dd25b46-ab74-4453-8aeb-8f2deeee85d0,2025-03-29 21:47:18,3189,454.36,USD
ab42783e-a1c0-45a0-9534-9138c113584d,2025-03-27 00:54:56,6149,83.64,USD
5fc14fc1-70fe-4ad8-85ca-d6c04b34196d,2025-02-16 22:03:58,8291,162.82,USD
c6306836-093d-4da3-a13b-073f4d842c98,2025-03-05 23:47:34,8767,383.57,USD
193b78ee-58ff-4423-b664-3e2cc8747a40,2025-02-02 18:54:36,7815,116.99,USD
e49052a2-e93a-44bd-9b05-adbd827d5f51,2025-03-05 23:05:55,6720,136.2,USD
3cfc837b-74ef-4dd0-9ef0-936e150de1d2,2025-02-21 08:14:57,7738,395.25,USD
613618e0-a8bb-49c6-a320-f78339e242d6,2025-03-14 11:34:39,2308,298.12,USD
f8591089-a252-419f-9e95-84a82f425200,2025-02-22 11:56:20,8485,336.41,USD
7f09df16-d22a-4fc9-ba84-01d2a9bc7a20,2025-02-08 10:25:35,4501,327.81,USD
f87ca6f4-93ff-4c5c-b8ae-c9d2e90bc56b,2025-01-06 14:07:46,1043,390.34,USD
f458c3eb-9487-4626-910d-b4cd5b0d11c5,2025-03-27 22:26:24,1596,163.08,USD
0ef4a766-183a-4403-b183-6a619abe5345,2025-03-22 23:36:47,6027,255.52,USD
58821f19-6a8a-4572-b3ed-2cf82fc626ae,2025-01-25 01:16:22,8420,151.64,USD
c440fa17-e51c-4e09-bc1d-adc8fbafb3cf,2025-02-08 17:05:27,7487,50.73,USD
f0a9a09e-dfbe-4a22-ae35-ba8a88d37c9d,2025-01-02 07:13:29,6065,93.58,USD
ccda9df1-19fd-4803-8a6c-25358dac1b47,2025-02-19 13:13:10,1522,277.8,USD
ce968024-c053-4318-9c4b-7841c821b0fa,2025-01-14 17:03:30,9597,120.55,USD
d266c641-3a5a-4658-8d01-24f7226e0e34,2025-02-18 21:16:43,5739,342.54,USD
e9827b45-6540-470f-abd1-9f6b4aad4c9b,2025-03-09 04:36:32,8899,289.21,USD
b1e826f6-4ed6-4e4c-8a75-e091a8039e6b,2025-03-27 12:25:43,5080,198.13,USD
8dbc9988-d7b2-4dd0-a149-224eaa639fb5,2025-03-22 14:14:07,2112,230.22,USD
b79230b5-c171-4095-a883-09f986751951,2025-02-17 02:31:16,2710,254.2,USD
e3d6037f-c545-4ecc-a3c2-e0c61da3751c,2025-02-22 07:15:19,9170,100.03,USD
f927ec35-e7f1-44f2-8edb-e7d7402f4075,2025-01-23 22:05:53,8213,27.72,USD
6660fe6b-4a98-4465-8fad-1f0caf8c2462,2025-03-29 20:10:20,3474,458.47,USD
b3bea885-7636-4175-8d1b-39cc87796404,2025-02-25 06:47:01,2524,408.8,USD
defdd54d-ac65-4157-b4a1-abcdc09fbbab,2025-01-30 05:42:01,3870,450.41,USD
5191bd74-2c5f-4217-91d3-2c771fba1a15,2025-03-03 03:27:11,1675,129.26,USD
7b6d0a5e-2da9-4c9a-a298-6dae741c9dd7,2025-02-24 17:21:43,7472,246.47,USD
8d98cce4-bfd3-4971-affd-92934336043c,2025-02-16 21:14:06,7152,421.23,USD
1b53277f-782c-4bce-bb2a-81317403b623,2025-03-07 11:37:52,2715,256.03,USD
